160519;JÚLIO CAMPOS;DEM;MT;PEC29013;http://www.camara.gov.br/internet/deputado/bandep/160519.jpg;masculino
73588;MAURO BENEVIDES;PMDB;CE;PEC14712;http://www.camara.gov.br/internet/deputado/bandep/73588.jpg;masculino
160974;HUGO NAPOLEÃO;PSD;PI;PL192703;http://www.camara.gov.br/internet/deputado/bandep/160974.jpg;masculino
74222;ASDRUBAL BENTES;PMDB;PA;CEXSAOFE;http://www.camara.gov.br/internet/deputado/bandep/74222.jpg;masculino
74419;GONZAGA PATRIOTA;PSB;PE;REP-0713;http://www.camara.gov.br/internet/deputado/bandep/74419.jpg;masculino
132056;PAULO MALUF;PP;SP;PEC18607;http://www.camara.gov.br/internet/deputado/bandep/132056.jpg;masculino
141401;CARLOS BEZERRA;PMDB;MT;CCJC;http://www.camara.gov.br/internet/deputado/bandep/141401.jpg;masculino
160649;ESPERIDIÃO AMIN;PP;SC;PEC29013;http://www.camara.gov.br/internet/deputado/bandep/160649.jpg;masculino
73565;VALDEMAR COSTA NETO;PR;SP;CEREFPOL;http://www.camara.gov.br/internet/deputado/bandep/73565.jpg;masculino
74750;NEWTON CARDOSO;PMDB;MG;CVT;http://www.camara.gov.br/internet/deputado/bandep/74750.jpg;masculino
74317;JÚLIO CESAR;PSD;PI;CMO;http://www.camara.gov.br/internet/deputado/bandep/74317.jpg;masculino
74765;SILAS BRASILEIRO;PMDB;MG;CFT;http://www.camara.gov.br/internet/deputado/bandep/74765.jpg;masculino
73781;NELSON MEURER;PP;PR;PL032307;http://www.camara.gov.br/internet/deputado/bandep/73781.jpg;masculino
74838;EDSON EZEQUIEL;PMDB;RJ;CVT;http://www.camara.gov.br/internet/deputado/bandep/74838.jpg;masculino
74762;SARAIVA FELIPE;PMDB;MG;SUBSCOMP;http://www.camara.gov.br/internet/deputado/bandep/74762.jpg;masculino
73883;PAULO BORNHAUSEN;PSD;SC;CFFC;http://www.camara.gov.br/internet/deputado/bandep/73883.jpg;masculino
74537;CLAUDIO CAJADO;DEM;BA;SUBMOVMI;http://www.camara.gov.br/internet/deputado/bandep/74537.jpg;masculino
74075;ELCIONE BARBALHO;PMDB;PA;PL562713;http://www.camara.gov.br/internet/deputado/bandep/74075.jpg;feminino
73433;ARLINDO CHINAGLIA;PT;SP;CFFC;http://www.camara.gov.br/internet/deputado/bandep/73433.jpg;masculino
74423;JOSÉ CHAVES;PTB;PE;PL562713;http://www.camara.gov.br/internet/deputado/bandep/74423.jpg;masculino
73531;IVAN VALENTE;PSOL;SP;PEC19612;http://www.camara.gov.br/internet/deputado/bandep/73531.jpg;masculino
74428;MENDONÇA FILHO;DEM;PE;PEC09011;http://www.camara.gov.br/internet/deputado/bandep/74428.jpg;masculino
74197;DOMINGOS DUTRA;SDD;MA;GTTERRAS;http://www.camara.gov.br/internet/deputado/bandep/74197.jpg;masculino
73534;JOÃO PAULO CUNHA;PT;SP;CCJC;http://www.camara.gov.br/internet/deputado/bandep/73534.jpg;masculino
74749;MAURO LOPES;PMDB;MG;PL192703;http://www.camara.gov.br/internet/deputado/bandep/74749.jpg;masculino
74212;ANÍBAL GOMES;PMDB;CE;CFFC;http://www.camara.gov.br/internet/deputado/bandep/74212.jpg;masculino
74417;FERNANDO FERRO;PT;PE;PL003711;http://www.camara.gov.br/internet/deputado/bandep/74417.jpg;masculino
73447;EDINHO ARAÚJO;PMDB;SP;CECONST;http://www.camara.gov.br/internet/deputado/bandep/73447.jpg;masculino
74308;VICENTE ARRUDA;PROS;CE;PEC21500;http://www.camara.gov.br/internet/deputado/bandep/74308.jpg;masculino
73768;DILCEU SPERAFICO;PP;PR;SUBCARTL;http://www.camara.gov.br/internet/deputado/bandep/73768.jpg;masculino
74321;BETINHO ROSADO;PP;RN;SUBENDIV;http://www.camara.gov.br/internet/deputado/bandep/74321.jpg;masculino
74213;ANTONIO BALHMANN;PROS;CE;CEAGRIRU;http://www.camara.gov.br/internet/deputado/bandep/74213.jpg;masculino
73676;SANDRO MABEL;PMDB;GO;PEC20912;http://www.camara.gov.br/internet/deputado/bandep/73676.jpg;masculino
74830;ALEXANDRE SANTOS;PMDB;RJ;SUBPETGE;http://www.camara.gov.br/internet/deputado/bandep/74830.jpg;masculino
73793;EDINHO BEZ;PMDB;SC;PL501313;http://www.camara.gov.br/internet/deputado/bandep/73793.jpg;masculino
74655;EDUARDO BARBOSA;PSDB;MG;SUBCUDHM;http://www.camara.gov.br/internet/deputado/bandep/74655.jpg;masculino
74550;JOÃO LEÃO;PP;BA;SUBPETGE;http://www.camara.gov.br/internet/deputado/bandep/74550.jpg;masculino
74554;JOSÉ ROCHA;PR;BA;CPITRAPE;http://www.camara.gov.br/internet/deputado/bandep/74554.jpg;masculino
74291;ARNON BEZERRA;PTB;CE;CLP;http://www.camara.gov.br/internet/deputado/bandep/74291.jpg;masculino
74665;JAIME MARTINS;PSD;MG;PL003711;http://www.camara.gov.br/internet/deputado/bandep/74665.jpg;masculino
74177;MARINHA RAUPP;PMDB;RO;CINDRA;http://www.camara.gov.br/internet/deputado/bandep/74177.jpg;feminino
73559;SALVADOR ZIMBALDI;PROS;SP;CCTCI;http://www.camara.gov.br/internet/deputado/bandep/73559.jpg;masculino
